Year of Order,Product Name,Sales
2013,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",168.0
2013,Acco Suede Grain Vinyl Round Ring Binder,3.0
2013,Acco Translucent Poly Ring Binders,14.0
2013,Accohide Poly Flexible Ring Binders,3.0
2013,Acme Box Cutter Scissors,173.0
2013,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",27.0
2013,Acme Design Stainless Steel Bent Scissors,75.0
2013,Acme Forged Steel Scissors with Black Enamel Handles,19.0
2013,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",22.0
2013,Acme Kleen Earth Office Shears,31.0
2013,Acme Kleencut Forged Steel Scissors,9.0
2013,Acme Office Executive Series Stainless Steel Trimmers,65.0
2013,Acme Rosewood Handle Letter Opener,12.0
2013,Acme Serrated Blade Letter Opener,8.0
2013,Acme Softgrip Scissors,41.0
2013,Acme Stainless Steel Office Snips,48.0
2013,Acme Titanium Bonded Scissors,32.0
2013,Acme Value Line Scissors,28.0
2013,Acrylic Self-Standing Desk Frames,15.0
2013,"Adams ""While You Were Out"" Message Pads",41.0
2013,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",21.0
2013,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",9.0
2013,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",64.0
2013,"Adams Telephone Message Books, 5 1/4” x 11”",5.0
2013,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",22.0
2013,Adjustable Depth Letter/Legal Cart,363.0
2013,Adjustable Personal File Tote,91.0
2013,Adtran 1202752G1,882.0
2013,Advantus Map Pennant Flags and Round Head Tacks,12.0
2013,Advantus Motivational Note Cards,26.0
2013,Advantus Panel Wall Acrylic Frame,18.0
2013,Advantus Panel Wall Certificate Holder - 8.5x11,20.0
2013,Advantus Plastic Paper Clips,60.0
2013,Advantus Push Pins,7.0
2013,"Advantus Push Pins, Aluminum Head",12.0
2013,Advantus Rolling Drawer Organizers,754.0
2013,Advantus Rolling Storage Box,51.0
2013,Advantus T-Pin Paper Clips,23.0
2013,Airmail Envelopes,537.0
2013,Akro Stacking Bins,29.0
2013,Akro-Mils 12-Gallon Tote,20.0
2013,"Alliance Big Bands Rubber Bands, 12/Pack",6.0
2013,"Alliance Super-Size Bands, Assorted Sizes",81.0
2013,Alphabetical Labels for Top Tab Filing,217.0
2013,Aluminum Document Frame,73.0
2013,American Pencil,9.0
2013,Ames Color-File Green Diamond Border X-ray Mailers,605.0
2013,"Ampad Evidence Wirebond Steno Books, 6"" x 9""",3.0
2013,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",25.0
2013,"Angle-D Binders with Locking Rings, Label Holders",56.0
2013,Angle-D Ring Binders,3.0
2013,Apple iPhone 5,5329.0
2013,Apple iPhone 5C,700.0
2013,Apple iPhone 5S,3648.0
2013,"Array Parchment Paper, Assorted Colors",92.0
2013,Assorted Color Push Pins,3.0
2013,Astroparche Fine Business Paper,8.0
2013,Ativa MDM8000 8-Sheet Micro-Cut Shredder,288.0
2013,Ativa V4110MDD Micro-Cut Shredder,2800.0
2013,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",522.0
2013,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1573.0
2013,Avanti 4.4 Cu. Ft. Refrigerator,362.0
2013,Avaya IP Phone 1140E VoIP phone,1395.0
2013,"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",21.0
2013,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",24.0
2013,Avery 475,44.0
2013,Avery 476,10.0
2013,Avery 477,275.0
2013,Avery 479,8.0
2013,Avery 48,19.0
2013,Avery 480,57.0
2013,Avery 481,22.0
2013,Avery 482,3.0
2013,Avery 483,15.0
2013,Avery 485,263.0
2013,Avery 487,4.0
2013,Avery 488,8.0
2013,Avery 489,72.0
2013,Avery 49,3.0
2013,Avery 490,74.0
2013,Avery 492,43.0
2013,Avery 494,21.0
2013,Avery 495,28.0
2013,Avery 499,83.0
2013,Avery 501,15.0
2013,Avery 505,59.0
2013,Avery 506,21.0
2013,Avery 508,12.0
2013,Avery 509,16.0
2013,Avery 51,39.0
2013,Avery 512,14.0
2013,Avery 513,64.0
2013,Avery 514,28.0
2013,Avery 516,88.0
2013,Avery 518,28.0
2013,Avery 519,29.0
2013,Avery 52,6.0
2013,Avery 520,3.0
2013,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",93.0
2013,Avery Arch Ring Binders,244.0
2013,Avery Binder Labels,1.0
2013,Avery Binding System Hidden Tab Executive Style Index Sets,18.0
2013,Avery Durable Binders,22.0
2013,"Avery Durable Plastic 1"" Binders",11.0
2013,Avery Durable Poly Binders,13.0
2013,Avery Durable Slant Ring Binders With Label Holder,20.0
2013,"Avery Durable Slant Ring Binders, No Labels",6.0
2013,Avery File Folder Labels,24.0
2013,"Avery Flip-Chart Easel Binder, Black",43.0
2013,Avery Fluorescent Highlighter Four-Color Set,11.0
2013,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",26.0
2013,Avery Hanging File Binders,14.0
2013,Avery Heavy-Duty EZD  Binder With Locking Rings,18.0
2013,Avery Heavy-Duty EZD View Binder with Locking Rings,66.0
2013,"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",4.0
2013,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",147.0
2013,Avery Hi-Liter Fluorescent Desk Style Markers,3.0
2013,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",13.0
2013,Avery Hidden Tab Dividers for Binding Systems,16.0
2013,Avery Hole Reinforcements,11.0
2013,Avery Legal 4-Ring Binder,84.0
2013,Avery Metallic Poly Binders,26.0
2013,Avery Non-Stick Binders,51.0
2013,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,68.0
2013,Avery Poly Binder Pockets,7.0
2013,Avery Premier Heavy-Duty Binder with Round Locking Rings,43.0
2013,Avery Recycled Flexi-View Covers for Binding Systems,32.0
2013,Avery Round Ring Poly Binders,1.0
2013,Avery Self-Adhesive Photo Pockets for Polaroid Photos,17.0
2013,"Avery Trapezoid Extra Heavy Duty 4"" Binders",59.0
2013,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",91.0
2013,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",8.0
2013,Avery White Multi-Purpose Labels,40.0
2013,Avoid Verbal Orders Carbonless Minifold Book,3.0
2013,BIC Brite Liner Grip Highlighters,5.0
2013,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",58.0
2013,BIC Brite Liner Highlighters,10.0
2013,"BIC Brite Liner Highlighters, Chisel Tip",48.0
2013,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",54.0
2013,"BOSTON Ranger #55 Pencil Sharpener, Black",125.0
2013,BPI Conference Tables,292.0
2013,Balt Solid Wood Rectangular Table,174.0
2013,Balt Solid Wood Round Tables,1072.0
2013,Balt Split Level Computer Training Table,527.0
2013,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",71.0
2013,"Belkin 19"" Vented Equipment Shelf, Black",124.0
2013,Belkin 6 Outlet Metallic Surge Strip,59.0
2013,Belkin 7 Outlet SurgeMaster II,39.0
2013,Belkin 7-Outlet SurgeMaster Home Series,14.0
2013,Belkin 8 Outlet Surge Protector,574.0
2013,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,144.0
2013,Belkin F5C206VTEL 6 Outlet Surge,230.0
2013,Belkin F8E887 USB Wired Ergonomic Keyboard,120.0
2013,Belkin F9G930V10-GRY 9 Outlet Surge,642.0
2013,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,264.0
2013,Belkin Premiere Surge Master II 8-outlet surge protector,19.0
2013,Belkin QODE FastFit Bluetooth Keyboard,248.0
2013,Belkin Standard 104 key USB Keyboard,184.0
2013,Bestar Classic Bookcase,673.0
2013,Bevis 36 x 72 Conference Tables,100.0
2013,Bevis 44 x 96 Conference Tables,2059.0
2013,Bevis Boat-Shaped Conference Table,629.0
2013,"Bevis Oval Conference Table, Walnut",2975.0
2013,Bevis Rectangular Conference Tables,146.0
2013,"Bevis Round Bullnose 29"" High Table Top",1299.0
2013,Bevis Round Conference Room Tables and Bases,520.0
2013,Bevis Round Conference Table Top & Single Column Base,351.0
2013,"Bevis Round Conference Table Top, X-Base",843.0
2013,Bevis Steel Folding Chairs,460.0
2013,"Bevis Traditional Conference Table Top, Plinth Base",700.0
2013,Binder Clips by OIC,8.0
2013,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",21.0
2013,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",11.0
2013,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",10.0
2013,"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",21.0
2013,Bionaire 99.97% HEPA Air Cleaner,14.0
2013,Bionaire Personal Warm Mist Humidifier/Vaporizer,94.0
2013,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,17.0
2013,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",51.0
2013,BlackBerry Q10,806.0
2013,Blackstonian Pencils,5.0
2013,"BlueLounge Milo Smartphone Stand, White/Metallic",96.0
2013,Bose SoundLink Bluetooth Speaker,318.0
2013,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,70.0
2013,Boston 16701 Slimline Battery Pencil Sharpener,38.0
2013,Boston 16750 Black Compact Battery Pencil Sharpener,35.0
2013,Boston 16801 Nautilus Battery Pencil Sharpener,66.0
2013,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",68.0
2013,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,434.0
2013,Boston Home & Office Model 2000 Electric Pencil Sharpeners,156.0
2013,Boston KS Multi-Size Manual Pencil Sharpener,46.0
2013,"Boston School Pro Electric Pencil Sharpener, 1670",99.0
2013,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,219.0
2013,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",3.0
2013,Bretford CR4500 Series Slim Rectangular Table,1219.0
2013,Bretford CR8500 Series Meeting Room Furniture,1203.0
2013,Bretford Rectangular Conference Table Tops,5191.0
2013,Brother DCP1000 Digital 3 in 1 Multifunction Machine,1200.0
2013,Brown Kraft Recycled Envelopes,51.0
2013,Bulldog Vacuum Base Pencil Sharpener,48.0
2013,Bush Advantage Collection Racetrack Conference Table,891.0
2013,Bush Advantage Collection Round Conference Table,744.0
2013,"Bush Andora Bookcase, Maple/Graphite Gray Finish",306.0
2013,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1811.0
2013,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,47.0
2013,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",164.0
2013,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",8.0
2013,Cameo Buff Policy Envelopes,497.0
2013,Canon Imageclass D680 Copier / Fax,560.0
2013,Canon PC1080F Personal Copier,1800.0
2013,Canon PC940 Copier,1080.0
2013,Canon imageCLASS MF7460 Monochrome Digital Laser Multifunction Copier,3992.0
2013,Canvas Sectional Post Binders,153.0
2013,Cardinal EasyOpen D-Ring Binders,22.0
2013,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",60.0
2013,Cardinal Holdit Business Card Pockets,24.0
2013,Cardinal Poly Pocket Divider Pockets for Ring Binders,3.0
2013,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",49.0
2013,"Carina 42""Hx23 3/4""W Media Storage Unit",794.0
2013,Carina Double Wide Media Storage Towers in Natural & Black,972.0
2013,"Carina Mini System Audio Rack, Model AR050B",1621.0
2013,Case Logic 2.4GHz Wireless Keyboard,420.0
2013,Catalog Binders with Expanding Posts,108.0
2013,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2244.0
2013,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",1653.0
2013,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,331.0
2013,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",654.0
2013,Chromcraft Rectangular Conference Tables,2914.0
2013,Cisco 8x8 Inc. 6753i IP Business Phone System,1080.0
2013,Cisco IP Phone 7961G VoIP phone - Dark gray,1251.0
2013,Cisco SPA 501G IP Phone,213.0
2013,Cisco SPA112 2 Port Phone Adapter,165.0
2013,Cisco SPA508G,198.0
2013,Cisco SPA525G2 IP Phone - Wireless,144.0
2013,Cisco TelePresence System EX90 Videoconferencing Unit,22638.0
2013,Cisco Unified IP Phone 7945G VoIP phone,1909.0
2013,Clarity 53712,211.0
2013,Classic Ivory Antique Telephone ZL1810,241.0
2013,Clear Mylar Reinforcing Strips,90.0
2013,ClearOne CHATAttach 160 - speaker phone,1984.0
2013,ClearSounds CSC500 Amplified Spirit Phone Corded phone,532.0
2013,Colored Envelopes,11.0
2013,Colored Push Pins,17.0
2013,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",24.0
2013,Compact Automatic Electric Letter Opener,883.0
2013,"Companion Letter/Legal File, Black",60.0
2013,Computer Printout Index Tabs,1.0
2013,Computer Printout Paper with Letter-Trim Perforations,46.0
2013,"Computer Room Manger, 14""",149.0
2013,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",34.0
2013,Contemporary Borderless Frame,10.0
2013,"Contico 72""H Heavy-Duty Storage System",303.0
2013,"Contract Clock, 14"", Brown",62.0
2013,Convenience Packs of Business Envelopes,14.0
2013,Crate-A-Files,26.0
2013,Crayola Colored Pencils,59.0
2013,DAX Black Cherry Wood-Tone Poster Frame,265.0
2013,DAX Clear Channel Poster Frame,17.0
2013,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",40.0
2013,"DAX Copper Panel Document Frame, 5 x 7 Size",25.0
2013,DAX Cubicle Frames - 8x10,63.0
2013,"DAX Cubicle Frames, 8-1/2 x 11",26.0
2013,"DAX Metal Frame, Desktop, Stepped-Edge",61.0
2013,DAX Natural Wood-Tone Poster Frame,153.0
2013,"DAX Value U-Channel Document Frames, Easel Back",45.0
2013,DAX Wood Document Frame,93.0
2013,DAX Wood Document Frame.,11.0
2013,DIXON Oriole Pencils,24.0
2013,DIXON Ticonderoga Erasable Checking Pencils,42.0
2013,DMI Arturo Collection Mission-style Design Wood Chair,1902.0
2013,DMI Eclipse Executive Suite Bookcases,4810.0
2013,DXL Angle-View Binders with Locking Rings by Samsill,62.0
2013,DYMO CardScan Personal V9 Business Card Scanner,768.0
2013,"Dana Fluorescent Magnifying Lamp, White, 36""",377.0
2013,Dana Halogen Swing-Arm Architect Lamp,328.0
2013,Dana Swing-Arm Lamps,27.0
2013,"DataProducts Ampli Magnifier Task Lamp, Black,",130.0
2013,Dax Clear Box Frame,17.0
2013,"Decoflex Hanging Personal Folder File, Blue",232.0
2013,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,337.0
2013,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",128.0
2013,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",355.0
2013,Deflect-o Glass Clear Studded Chair Mats,149.0
2013,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",146.0
2013,Deluxe Chalkboard Eraser Cleaner,81.0
2013,Desktop 3-Pocket Hot File,216.0
2013,Digium D40 VoIP phone,258.0
2013,"Dixon My First Ticonderoga Pencil, #2",33.0
2013,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13.0
2013,Dixon Ticonderoga Core-Lock Colored Pencils,123.0
2013,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",256.0
2013,Document Clip Frames,20.0
2013,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",689.0
2013,"Dual Level, Single-Width Filing Carts",1706.0
2013,Easy-staple paper,291.0
2013,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",144.0
2013,"Eberhard Faber 3 1/2"" Golf Pencils",15.0
2013,EcoTones Memo Sheets,53.0
2013,Economy #2 Pencils,8.0
2013,Economy Rollaway Files,1552.0
2013,"Eldon ""L"" Workstation Diamond Chairmat",182.0
2013,Eldon 100 Class Desk Accessories,10.0
2013,"Eldon 200 Class Desk Accessories, Black",57.0
2013,"Eldon 200 Class Desk Accessories, Burgundy",35.0
2013,"Eldon 200 Class Desk Accessories, Smoke",6.0
2013,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,43.0
2013,"Eldon Base for stackable storage shelf, platinum",382.0
2013,Eldon Cleatmat Chair Mats for Medium Pile Carpets,111.0
2013,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,589.0
2013,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,491.0
2013,"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",273.0
2013,Eldon Econocleat Chair Mats for Low Pile Carpets,124.0
2013,"Eldon Executive Woodline II Desk Accessories, Mahogany",60.0
2013,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",77.0
2013,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",46.0
2013,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",53.0
2013,"Eldon Expressions Wood Desk Accessories, Oak",15.0
2013,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",91.0
2013,Eldon File Chest Portable File,79.0
2013,Eldon Fold 'N Roll Cart System,70.0
2013,Eldon Gobal File Keepers,30.0
2013,Eldon Image Series Black Desk Accessories,12.0
2013,"Eldon Image Series Desk Accessories, Burgundy",13.0
2013,"Eldon Image Series Desk Accessories, Ebony",12.0
2013,Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,237.0
2013,Eldon Pizzaz Desk Accessories,9.0
2013,Eldon Portable Mobile Manager,186.0
2013,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,58.0
2013,Eldon Radial Chair Mat for Low to Medium Pile Carpets,200.0
2013,"Eldon Regeneration Recycled Desk Accessories, Smoke",15.0
2013,Eldon Shelf Savers Cubes and Bins,45.0
2013,Eldon Simplefile Box Office,87.0
2013,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",8.0
2013,Eldon Wave Desk Accessories,37.0
2013,Electrix Halogen Magnifier Lamp,311.0
2013,"Electrix Incandescent Magnifying Lamp, Black",117.0
2013,Enermax Acrylux Wireless Keyboard,498.0
2013,Enermax Aurora Lite Keyboard,703.0
2013,Enermax Briskie RF Wireless Keyboard and Mouse Combo,124.0
2013,Epson Perfection V600 Photo Scanner,207.0
2013,Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop,560.0
2013,"Epson WorkForce WF-2530 All-in-One Printer, Copier Scanner",280.0
2013,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",29.0
2013,Eureka Sanitaire  Commercial Upright,795.0
2013,Eureka The Boss Cordless Rechargeable Stick Vac,102.0
2013,Euro-Pro Shark Turbo Vacuum,186.0
2013,"Executive Impressions 10"" Spectator Wall Clock",71.0
2013,"Executive Impressions 12"" Wall Clock",70.0
2013,"Executive Impressions 13"" Chairman Wall Clock",76.0
2013,"Executive Impressions 13"" Clairmont Wall Clock",104.0
2013,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",37.0
2013,"Executive Impressions 14""",111.0
2013,"Executive Impressions 14"" Contract Wall Clock",44.0
2013,Faber Castell Col-Erase Pencils,4.0
2013,Fashion Color Clasp Envelopes,29.0
2013,Fellowes 8 Outlet Superior Workstation Surge Protector,417.0
2013,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,44.0
2013,Fellowes Advanced Computer Series Surge Protectors,132.0
2013,Fellowes Bankers Box Recycled Super Stor/Drawer,735.0
2013,Fellowes Bankers Box Stor/Drawer Steel Plus,569.0
2013,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,127.0
2013,Fellowes Basic Home/Office Series Surge Protectors,26.0
2013,Fellowes Binding Cases,47.0
2013,Fellowes Black Plastic Comb Bindings,8.0
2013,Fellowes Desktop Hanging File Manager,67.0
2013,Fellowes High-Stak Drawer Files,282.0
2013,Fellowes Mighty 8 Compact Surge Protector,138.0
2013,"Fellowes Mobile File Cart, Black",62.0
2013,Fellowes Neat Ideas Storage Cubes,91.0
2013,Fellowes Officeware Wire Shelving,808.0
2013,Fellowes PB200 Plastic Comb Binding Machine,561.0
2013,Fellowes PB300 Plastic Comb Binding Machine,2716.0
2013,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,2034.0
2013,"Fellowes Personal Hanging Folder Files, Navy",161.0
2013,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",147.0
2013,Fellowes Presentation Covers for Comb Binding Machines,17.0
2013,Fellowes Staxonsteel Drawer Files,386.0
2013,Fellowes Stor/Drawer Steel Plus Storage Drawers,955.0
2013,"Fellowes Strictly Business Drawer File, Letter/Legal Size",704.0
2013,Fellowes Super Stor/Drawer,389.0
2013,Fellowes Super Stor/Drawer Files,1454.0
2013,Fellowes Superior 10 Outlet Split Surge Protector,426.0
2013,"Fellowes Twister Kit, Gray/Clear, 3/pkg",59.0
2013,File Shuttle I and Handi-File,53.0
2013,"File Shuttle II and Handi-File, Black",338.0
2013,First Data FD10 PIN Pad,395.0
2013,Flexible Leather- Look Classic Collection Ring Binder,19.0
2013,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",58.0
2013,Fluorescent Highlighters by Dixon,22.0
2013,G.E. Halogen Desk Lamp Bulbs,36.0
2013,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,18.0
2013,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",45.0
2013,GBC DocuBind 200 Manual Binding Machine,1179.0
2013,GBC DocuBind 300 Electric Binding Machine,1157.0
2013,GBC DocuBind P100 Manual Binding Machine,730.0
2013,GBC DocuBind P400 Electric Binding System,5444.0
2013,GBC DocuBind P50 Personal Binding Machine,77.0
2013,GBC DocuBind TL200 Manual Binding Machine,67.0
2013,GBC DocuBind TL300 Electric Binding System,5741.0
2013,GBC Durable Plastic Covers,135.0
2013,GBC Instant Index System for Binding Systems,28.0
2013,GBC Instant Report Kit,13.0
2013,"GBC Laser Imprintable Binding System Covers, Desert Sand",43.0
2013,GBC Linen Binding Covers,69.0
2013,GBC Personal VeloBind Strips,22.0
2013,GBC Plastic Binding Combs,4.0
2013,GBC Poly Designer Binding Covers,40.0
2013,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",26.0
2013,GBC Premium Transparent Covers with Diagonal Lined Pattern,17.0
2013,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",9.0
2013,GBC Prestige Therm-A-Bind Covers,188.0
2013,GBC ProClick Punch Binding System,819.0
2013,GBC Recycled Grain Textured Covers,114.0
2013,GBC Recycled Regency Composition Covers,431.0
2013,GBC Recycled VeloBinder Covers,34.0
2013,GBC Standard Plastic Binding Systems Combs,13.0
2013,GBC Standard Plastic Binding Systems' Combs,10.0
2013,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",77.0
2013,GBC Standard Therm-A-Bind Covers,87.0
2013,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",90.0
2013,GBC VeloBind Cover Sets,95.0
2013,GBC VeloBinder Manual Binding System,43.0
2013,GBC VeloBinder Strips,23.0
2013,"GBC White Gloss Covers, Plain Front",14.0
2013,GBC Wire Binding Combs,83.0
2013,GE 2-Jack Phone Line Splitter,618.0
